baker_uncertainty_index,foreign_investment_net,cargo_traffic_domestic,cargo_traffic_international,automobile_monthly,automobile_sales_passenger,automobile_sales_two_wheeler,aircraft_international,cargo_domestic,cargo_international,passenger_india,freight_traffic,foreign_exchange_earning,foreign_tourist_arrival,scheduled_bank_liabilities,scheduled_bank_demand_time_deposit,scheduled_bank_deposits,scheduled_bank_demand_deposits,ceic_leading_indicator,repo_rate,crr,electricity_generation,bse_sensex_average,mutual_fund_equity,mutual_fund_debt,exports_usd,import_usd,import_usd_oil,export_inr_india,import_inr,currency_with_public,demand_deposit_with_bank,money_supply_m4,money_supply_m3,money_supply_m2,net_bank_to_govt_m3,inbound_tourism_earning,foreign_tourist_arrival.1,aircraft_movement_india,cargo_traffic,cargo_traffic_international.1,passenger_traffic,freight_traffic.1,gdp_yoy_pct
-1.10084,-0.511054,-1.208503,-1.310024,-1.26828,-1.430657,-1.227995,-1.147246,-1.208503,-1.310024,-0.583728,-1.460729,-1.030657,-0.93978,-0.889759,-1.029746,-1.157243,-1.024219,-0.56972,-0.343269,0.272212,-1.157622,-1.088512,-0.143743,-0.8003,-1.419881,-1.348678,-1.179805,-1.224918,-1.186122,-1.07794,-1.05562,-1.134727,-1.1525,-1.060613,-1.12186,-1.030657,-0.93978,-1.147246,-1.208503,-1.310024,-0.583728,-1.460729,0.362486
-1.116473,-0.666006,-1.131138,-1.217674,-1.170789,-1.417461,-1.067261,-0.92632,-1.131138,-1.217674,-0.459467,-1.250516,-0.827942,-0.399218,-0.931683,-1.037747,-1.146098,-1.007331,-0.100315,-0.144307,0.272212,-1.200794,-1.034608,-0.319113,-0.995856,-1.396865,-1.385069,-1.25492,-1.195263,-1.188354,-1.057009,-1.032328,-1.120786,-1.138602,-1.039771,-1.120859,-0.827942,-0.399218,-0.92632,-1.131138,-1.217674,-0.459467,-1.250516,0.50084
-1.304058,-0.415778,-1.178196,-1.176292,-1.130124,-1.162951,-1.104463,-0.890009,-1.178196,-1.176292,-0.441169,-0.985292,-0.791802,-0.348607,-0.970026,-1.100955,-1.128784,-0.949423,1.311874,0.054655,0.272212,-1.19508,-0.940217,-0.278932,-0.985763,-1.227563,-1.312008,-1.104919,-1.118386,-1.159603,-1.03398,-0.967509,-1.103291,-1.12082,-1.001098,-1.11596,-0.791802,-0.348607,-0.890009,-1.178196,-1.176292,-0.441169,-0.985292,0.678754
-1.085208,-1.06109,-1.214058,-1.040472,-1.113369,-1.277541,-1.056434,-0.915355,-1.214058,-1.040472,-0.301376,-1.129639,-0.984796,-0.934958,-0.992983,-1.121437,-1.101647,-0.918578,0.882221,0.120975,0.272212,-1.175647,-0.882388,0.005184,-0.747685,-1.250555,-1.226315,-1.010939,-1.116714,-1.102009,-1.004005,-0.940534,-1.077409,-1.09437,-0.973166,-1.105407,-0.984796,-0.934958,-0.915355,-1.214058,-1.040472,-0.301376,-1.129639,0.273362
-0.749118,-0.594161,-1.050238,-1.056144,-1.064624,-1.167381,-1.052519,-0.874039,-1.050238,-1.056144,-0.329462,-1.237753,-0.952659,-0.807688,-0.955366,-1.111553,-1.08338,-0.930825,0.590423,0.452578,0.272212,-1.14776,-0.869485,-0.34481,-0.785886,-1.141981,-1.104719,-0.848411,-1.047563,-1.02518,-1.003092,-0.937163,-1.059212,-1.076028,-0.971345,-1.10178,-0.952659,-0.807688,-0.874039,-1.050238,-1.056144,-0.329462,-1.237753,0.721369
-0.663141,0.278077,-0.972628,-1.059637,-1.000508,-1.152066,-0.908737,-0.750445,-0.972628,-1.059637,-0.267545,-1.019032,-0.75469,-0.236066,-0.912227,-1.110285,-1.067254,-0.888631,1.287349,0.651539,0.349323,-1.139672,-0.749562,-0.348896,-0.884151,-1.192545,-1.060334,-0.967884,-1.092982,-1.019355,-0.981242,-0.914905,-1.044926,-1.061679,-0.950399,-1.101983,-0.75469,-0.236066,-0.750445,-0.972628,-1.059637,-0.267545,-1.019032,0.528535
-0.80383,-0.562446,-0.987409,-0.97177,-1.029827,-0.848928,-1.028886,-0.675122,-0.987409,-0.97177,-0.277758,-0.782854,-0.671603,-0.059724,-0.880092,-1.050787,-1.035903,-0.833243,0.893696,0.916822,0.966211,-1.118267,-0.722541,-0.586812,-0.887695,-1.059263,-1.141784,-1.054224,-1.03521,-1.073299,-0.954299,-0.850031,-1.014473,-1.030235,-0.909156,-1.094058,-0.671603,-0.059724,-0.675122,-0.987409,-0.97177,-0.277758,-0.782854,0.595974
-1.046128,0.401055,-1.042835,-0.793074,-1.168121,-1.093634,-1.191659,-0.659588,-1.042835,-0.793074,-0.148391,-0.995414,-0.936533,-0.80989,-0.843849,-1.059548,-1.008603,-0.86257,0.435392,1.049463,1.660211,-1.099101,-0.702135,-0.22734,-0.674122,-1.004721,-0.828814,-0.758883,-1.052202,-0.958313,-0.927757,-0.875054,-0.989173,-1.004037,-0.903255,-1.071375,-0.936533,-0.80989,-0.659588,-1.042835,-0.793074,-0.148391,-0.995414,0.853305
-1.007048,0.488693,-0.93093,-0.750919,-1.109248,-0.975775,-1.204228,-0.590184,-0.93093,-0.750919,-0.127326,-1.001868,-0.907941,-0.6495,-0.859828,-1.038851,-0.975379,-0.795434,0.176257,1.049463,1.968656,-1.078503,-0.616914,-0.309339,-0.570426,-0.939258,-0.824726,-0.713099,-1.03182,-0.967321,-0.942609,-0.819024,-0.962703,-0.976575,-0.889131,-1.056654,-0.907941,-0.6495,-0.590184,-0.93093,-0.750919,-0.127326,-1.001868,0.497834
-0.616245,1.39899,-0.859781,-0.770678,-1.012484,-0.928109,-0.983125,-0.361948,-0.859781,-0.770678,-0.067536,-0.750434,-0.662797,0.02388,-0.866586,-1.047811,-0.951506,-0.773694,0.835344,1.049463,2.431323,-1.034244,-0.378275,-0.259405,-0.954712,-0.773603,-0.723835,-0.541644,-0.972912,-0.937748,-0.906327,-0.78867,-0.938525,-0.951384,-0.858536,-1.075909,-0.662797,0.02388,-0.361948,-0.859781,-0.770678,-0.067536,-0.750434,0.89064
