m1,credit,fuel,exports,crr,exchange,sensex,electricity_generation,cement,gdp
17.63733333,19.71266667,87.87,26.22833333,6,-4.569,15.30466667,2.615666667,84.635,10.68
20.22666667,23.836,88.56366667,40.539,6,-3.368666667,19.59366667,5.680666667,90.07733333,9.85
12.586,22.695,91.63533333,47.85033333,6,-1.421,10.48833333,8.143,102.2836667,8.57
8.988666667,20.948,95.42033333,37.08333333,6,-2.408666667,8.216333333,8.225666667,95.547,5.45
4.662,20.887,99.28466667,45.10533333,6,0.5673333333,-7.792333333,10.37866667,91.782,4.74
3.366666667,17.244,101.92,11.85466667,6,13.96766667,-17.88933333,9.562333333,99.74733333,4.28
6.440333333,16.35933333,105.329,5.014666667,5.25,10.33966667,-5.693666667,4.85,112.9236667,4.22
10.28533333,18.00466667,106.1666667,-3.704333333,4.75,23.185,-9.785666667,6.684,105.7273333,6.1
10.418,16.86766667,105.4666667,-8.477333333,4.666666667,18.39366667,4.422,2.863333333,97.48166667,5.63
8.762,16.29533333,107.1,0.659,4.333333333,6.031666667,16.723,4.377666667,105.5143333,5.86
8.673333333,15.464,109.5,4.438333333,4.083333333,7.817666667,10.061,2.060666667,121.105,6.12
9.222,14.409,107.0333333,-0.07533333333,4,3.129,15.24466667,3.229666667,112.277,5.92
9.120666667,15.333,115.1333333,12.89166667,4,16.03866667,7.452,8.409333333,103.1146667,6.98
10.149,14.71133333,117.1666667,7.369666667,4,13.63433333,10.285,5.064666667,107.524,6.52
9.825333333,15.13066667,119.3666667,-0.4193333333,4,14.39066667,11.312,7.789,122.9683333,7.45
10.87833333,13.02766667,115.9333333,8.590333333,4,5.479,22.84033333,11.422,124.6206667,7.68
10.67,10.92833333,116.2,1.484666667,4,-4.145666667,38.11066667,9.515666667,113.3053333,6.98
10.631,10.84066667,106.8333333,0.992,4,0.5466666667,33.18733333,9.488666667,112.0016667,7.54
10.317,9.528,91.66666667,-14.39666667,4,0.847,35.38933333,3.734,122.2953333,7.38
9.674333333,9.149,94.4,-15.92633333,4,6.491,14.905,2.223,124.739,7.4
10.888,9.183666667,89.03333333,-17.88633333,4,7.527666667,1.817666667,6.856333333,115.1496667,7.93
11.92333333,9.582333333,85.3,-19.025,4,6.251,-6.081666667,4.278666667,117.3873333,9.22
12.69866667,10.54366667,77.26666667,-7.708,4,8.977666667,-15.264,9.31,136.767,8.84
13.401,9.473666667,81.6,-1.603,4,5.359333333,-4.060666667,9.187,131.9666667,9.31
16.213,9.725333333,83,-0.883,4,2.382,4.857333333,1.371,119.0916667,8.6
-5.748666667,6.965,86.76666667,5.978333333,4,2.507,2.888666667,5.453666667,116.3903333,6.38
-7.311,5.358,93.73333333,16.18066667,4,-1.695,17.681,3.318333333,120.525,6.67
-0.717,5.925333333,90.73333333,8.752666667,4,-3.89,16.052,3.814666667,127.6166667,6
1.58,6.143666667,89.8,12.124,4,-3.598666667,13.23233333,5.345333333,119.8306667,6.53
27.24066667,8.808,94.63333333,14.902,4,-5.004666667,23.732,2.336666667,128.6723333,7.96
